#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTDESC_SoA_5359;[FromFrom.GetFirstName] looks at you with tears of joyous fervour in her eyes. 'My [Root.GetLordLady], you are the highest and also the wisest [Root.GetManWoman] in the realm. [Root.Religion.GetRandomGodName] shall guide you through me, and the people shall be saved. With the sword of righteousness in my hand, guided by your wisdom and the will of [Root.Religion.GetRandomGodName], we will be victorious!;[FromFrom.GetFirstName] vous regarde, les yeux brillants de joie et de ferveur. ''Mon/ma [Root.GetLordLady], la personne la plus sage et la plus puissante sur terre. Dieu vous guidera à travers moi et le peuple sera sauvé. Avec l'épée de la justice en main, guidée par votre sagesse et par la volonté de Dieu, je triompherai !;Mit Freudentränen in den Augen schaut [FromFrom.GetFirstName] Euch an. 'Mein [Root.GetLordLady], Ihr seid der wichtigste und weiseste [Root.GetManWoman] im Reich. Gott wird mit Euch sein, wenn Ihr mir folgt, und Euer Volk wird gerettet werden. Mit dem Schwert der Gerechtigkeit in meiner Hand, geführt von Eurer Weisheit und mit der Hilfe Gottes werden wir siegreich sein!;;[FromFrom.GetFirstName] os mira con lágrimas de fervor feliz en sus ojos. “Mi [Root.GetLordLady], sois el [Root.GetManWoman] más grande y sabio del reino. Dios os guiará a través de mí y la gente se salvará. Con la espada de la rectitud en mi mano, guiado por vuestra sabiduría y la voluntad de Dios, ¡saldremos victoriosos!;;;;;;;;;x
EVTOPTA_SoA_5359;So it shall be!;Qu'il en soit ainsi !;So sei es!;;¡Así sea!;;;;;;;;;x
EVTNAME_SoA_5360;Mistrust;Méfiance;Misstrauen;;Desconfianza;;;;;;;;;x
EVTDESC_SoA_5360;[FromFrom.GetFirstName] stands up, a shocked and bewildered expression or her face. 'My [Root.GetLordLady], your accusation wounds me most deeply! I have heard evil things said of me, but did not think I would hear it from you. Still, my loyalty to you comes from [Root.Religion.GetRandomGodName] and it's stronger than [Root.Religion.GetRandomEvilGodName] who has corrupted your faith. I shall always remain your servant, my [Root.GetLordLady]'.\n\nWith these last words, [FromFrom.GetFirstName] kneels before you, tears of sorrow streaming down her face.;[FromFrom.GetFirstName] se lève brusquement, choquée et scandalisée. ''Mon/ma [Root.GetLordLady], vos accusations me blessent profondément ! J'ai entendu les mauvaises choses que l'on raconte sur moi mais je ne pensais pas les entendre de votre bouche. Sachez que ma loyauté envers vous vient du Christ et qu'Il est plus fort que le démon qui a corrompu votre foi. Je demeure à jamais votre servante, mon/ma [Root.GetLordLady]''\n\nAprès avoir prononcé ces mots, [FromFrom.GetFirstName] s'agenouille devant vous, les yeux noyés de larmes.;[FromFrom.GetFirstName] erhebt sich mit einem Ausdruck verwirrten Entsetzens. 'Mein [Root.GetLordLady], Eure Anschuldigungen verletzen mich zutiefst! Schlimme Dinge habe ich über meine Person gehört, doch niemals hätte ich angenommen, solches auch von Euch zu hören. Dennoch, meine Loyalität für Euch gründet sich in Christus, und dieser ist stärker als der Teufel, der Euch korrumpiert hat. Ich werde weiterhin Euer Diener sein, mein [Root.GetLordLady]'.\n\nMit diesen Worten fällt [FromFrom.GetFirstName] vor Euch auf die Knie, das Gesicht überströmt von kummervollen Tränen.;;[FromFrom.GetFirstName] se levanta con expresión de estupefacción y desconcierto. “¡Mi [Root.GetLordLady], vuestra acusación me hiere profundamente! He oído cosas horribles de mí, pero no pensé que las escucharía de vos. Sin embargo, mi lealtad hacia vos proviene de Cristo y Él es más fuerte que el Demonio que ha corrompido vuestra fe. Siempre seré vuestra servidora, mi [Root.GetLordLady]”.\n\nCon estas últimas palabras, [FromFrom.GetFirstName] se arrodilla ante vos, con lágrimas de dolor recorriendo su cara.;;;;;;;;;x
EVTOPTA_SoA_5360;Stop this ridiculous charade, woman.;Femme, finissez-en avec cette mascarade ridicule.;Hört auf mit diesem Mummenschanz, Weib.;;Acabad con esta ridícula farsa, mujer.;;;;;;;;;x
EVTNAME_SoA_5361;The Lovers;Les Amants;Die Liebenden;;Los Amantes;;;;;;;;;x
EVTDESC_SoA_5361;[FromFrom.GetFirstName] quietly sits down next to you and looks into your eyes. As you embrace her and kiss her, she shudders and whispers: By [Root.Religion.GetRandomGodName], see how my hands tremble at your touch. Just as I felt this immense joy mixed with bewilderment when [Root.Religion.GetRandomGodName] first spoke to me, so do I now feel my blood rushing in the same way in your presence. It seems to me that it is the will of [Root.Religion.GetRandomGodName] that we shall be together.';[FromFrom.GetFirstName] s'assoit juste à côté de vous et vous regarde droit dans les yeux. Alors que vous l'enlacez et l'embrassez, elle frissonne et murmure : ''Mon seigneur, voyez comme mes mains tremblent lorsque vous me touchez. Comme cette joie immense que j'ai ressentie le jour où Christ s'est adressé à moi pour la première fois. Mon cœur bat de même en votre présence. La volonté de Dieu est que nous soyons ensemble.'';Still setzt sich [FromFrom.GetFirstName] neben Euch und schaut Euch in die Augen. Als Ihr sie umarmt und küsst, erschauert sie und sagt: 'Mein Fürst, seht nur, wie meine Hände unter Eurer Berührung zittern. Es ist das gleiche Gefühl von Freude und Verwirrung, wie damals, als Christus das erste Mal zu mir sprach. Mir scheint, es ist der Wille Gottes, dass wir zusammen sein sollen.';;[FromFrom.GetFirstName] se sienta en silencio junto a vos y os mira a los ojos. Cuando la abrazáis y la besáis, se estremece y susurra: “Mi Señor, mirad como tiemblan mis manos con vuestro roce. Cuando Cristo me habló por primera vez, sentí una mezcla de inmensa alegría y perplejidad. Así me siento en vuestra presencia, con la sangre recorriéndome en la misma dirección. Parece que la voluntad de Dios es que estemos juntos.”;;;;;;;;;x
EVTOPTA_SoA_5361;Come to my bedchamber then, [FromFrom.GetFirstName].;Accompagnez-moi dans ma chambre, [FromFrom.GetFirstName].;Wenn das so ist, dann kommt mit in meine Kammer, [FromFrom.GetFirstName].;;Venid pues a mi alcoba, [FromFrom.GetFirstName].;;;;;;;;;x
EVTNAME_SoA_5362;[FromFrom.GetFirstName] the Chaste;[FromFrom.GetFirstName] la Chaste;[FromFrom.GetFirstName] die Keusche;;[FromFrom.GetFirstName] la Casta;;;;;;;;;x
EVTDESC_SoA_5362;[FromFrom.GetFirstName] recoils away from your advances, her eyes expressing surprise, sorrow and anger as she looks at you. By [Root.Religion.GetRandomGodNameCap], I did not think the [Root.Religion.GetRandomEvilGodNameCap] would have sown such dark seeds in you as to try and impose on my chastity! I belong to [Root.Religion.GetRandomGodName] and to no man. Rest assured, [Root.Religion.GetRandomEvilGodNameCap] - my loyalty to you is untouched, but so shall my body also remain, lest it be the touch of cold steel and martyrdom.';[FromFrom.GetFirstName] a un mouvement de recul face à vos avances. La surprise, le chagrin et la colère se lisent dans son regard. ''Mon seigneur, je ne pensais pas que le démon avait semé en vous des graines si noires que vous tentiez de nuire à ma chasteté ! J'appartiens au Christ et à aucun homme. Soyez assuré, mon seigneur, que ma loyauté envers vous demeure intacte, mais mon corps demeurera intact lui aussi, de peur que l'acier glacé ou le martyr ne m'emportent.'';[FromFrom.GetFirstName] schreckt zurück, als Ihr Euch nähert, die Augen erfüllt von einer Mischung aus Überraschung, Trauer und Ärger. 'Mein Fürst, ich hätte nicht gedacht, dass der Teufel mit so viel Gerissenheit seinen bösen Samen sät! Mein Leben gehört Christus und kein Mann soll meine Keuschheit verletzen. Seid versichert, mein Fürst, dass meine Loyalität gegenüber Euch ohne Makel ist, doch so soll auch mein Körper bleiben, bis Stahl mein Martyrium beendet.';;[FromFrom.GetFirstName] retrocede ante vuestras insinuaciones, con los ojos llenos de sorpresa, lástima e ira. “¡Mi Lord, no pensé que el demonio hubiera sembrado semilla tan oscura en vos como para tratar de abusar de mi castidad! Pertenezco a Cristo y a ningún otro hombre. Estad tranquilo, mi Lord, mi lealtad hacia vos permanece intacta, como así permanecerá mi cuerpo, a no ser que queráis probar el frío tacto del acero y el martirio.”;;;;;;;;;x
EVTOPTA_SoA_5362;I see.;Je vois.;Verstehe...;;Entiendo.;;;;;;;;;x
EVTNAME_SoA_5364;[From.GetFirstName] and the common folk;[From.GetFirstName] et le peuple;[From.GetFirstName] und das einfache Volk;;[From.GetFirstName] y el pueblo;;;;;;;;;x
EVTDESC_SoA_5364;The entire country is boiling with rumours and gossip of [From.GetFullName], the humble country girl who rose to become a trusted servant of the [Root.GetTitle]. Hope of defeating the realm's enemies is blossoming, and peasants everywhere are celebrating this fantastic tale of a virgin saviour from the humblest ranks of society.;Tout le pays est en ébullition suite aux rumeurs et aux racontars au sujet de [From.GetFullName], la petite campagnarde devenue servante du/de la [Root.GetTitle]. L'espoir de vaincre les ennemis du royaume fleurit partout et les paysans dans tous les villages célèbrent cette histoire fantastique de la vierge salvatrice issue du milieu le plus humble.;Im ganzen Land schlagen die Gerüchte von [From.GetFullName], der einfachen Maid, die nun eine vertraute Dienerin von [Root.GetTitle] ist, hohe Wellen. Die Hoffnung, den Feind nun besiegen zu können, erhält neuen Auftrieb und die Bauern des ganzen Landes feiern diese fantastische Geschichte von der jungfräulichen Retterin aus den niedersten Schichten der Gesellschaft.;;Los rumores y chismorreos acerca de [From.GetFullName], la humilde campesina que se alzó para convertirse en una leal servidora de [Root.GetTitle], recorren todo el país. Florece la esperanza de vencer a los enemigos del reino y los campesinos celebran en todas partes la fantástica historia acerca de una virgen salvadora de la clase más humilde de la sociedad.;;;;;;;;;x
EVTOPTA_SoA_5364;She is truly a legend in her own time!;C'est une véritable légende vivante !;Sie ist wirklich zu Lebzeiten schon ein Legende!;;¡Es una auténtica leyenda!;;;;;;;;;x
EVTNAME_SoA_5366;[From.GetFirstName] requests an audience;[From.GetFirstName] demande une audience;[From.GetFirstName] bittet um eine Audienz;;[From.GetFirstName] solicita una audiencia;;;;;;;;;x
EVTDESC_SoA_5366;[From.GetFirstName] has come before you asking to speak to you at the council. She says that the military establishment seems trapped in old doctrines and that the commanders would benefit from more offensive thinking, as well as more religious schooling, of course.\n\nThere is grumbling from some of the assembled nobles at her speech.;[From.GetFirstName] demande à vous parler face au conseil. Elle explique que l'encadrement de l'armée est prisonnier des vieilles doctrines et que les commandants pourraient tirer parti d'une attitude plus offensive, et bien sûr d'une instruction plus religieuse.\n\nVous entendez certains des nobles présents marmonner pendant son discours.;[From.GetFirstName] hat um Erlaubnis gebeten, vor dem Rat zu Euch sprechen zu dürfen. Sie sagt, das Militär sei in der alten Denkweise gefangen und könne von einer offensiveren Vorgehensweise proftieren. Auch eine Stärkung der religiösen Schulung sei natürlich von Vorteil.\n\nEinige der versammelten Adligen reagieren auf ihre Worte mit verhaltener Ablehnung.;;[From.GetFirstName] comparece ante vos para pedir hablar con vos en el consejo. Dice que las altas esferas militares parecen anquilosadas en viejas doctrinas y que los comandantes sacarían provecho de un pensamiento más ofensivo, así como de una instrucción más religiosa, claro está.\n\nSe oyen quejas de los nobles reunidos ante su discurso.;;;;;;;;;x
EVTOPTA_SoA_5366;Thank you, [From.GetFirstName], that's a good idea.;Merci [From.GetFirstName], c'est une bonne idée.;Habt Dank, [From.GetFirstName], das ist ein guter Vorschlag.;;Gracias, [From.GetFirstName], es una buena idea.;;;;;;;;;x
EVTOPTB_SoA_5366;When I need your advice, I'll ask for it.;Quand j'aurai besoin de vos conseils, je vous le ferai savoir.;Wenn ich Euren Rat brauche, werde ich Euch fragen.;;Cuando necesite vuestro consejo, os lo pediré.;;;;;;;;;x
EVTOPTC_SoA_5366;I've had enough of this insolence – arrest her!;J'en ai assez de cette insolente. Arrêtez-la !;Genug von diesen Unverschämtheiten – in den Kerker mit ihr!;;Ya he tenido bastante. ¡Arrestad a esta insolente!;;;;;;;;;x
EVTNAME_SoA_5368;[From.GetFirstName] and the Church;[From.GetFirstName] et l'Église;[From.GetFirstName] und die Kirche;;[From.GetFirstName] y la Iglesia;;;;;;;;;x
EVTDESC_SoA_5368;Your [Root.GetLordSpiritualName] [Root.job_spiritual.GetFullName] approaches you one morning for a candid conversation: 'My [Root.GetLordLady], there is much displeasure among the clergy at the elevation of this young woman, [From.GetFirstName]. The things she says are considered heretical by some in the Holy Church, and others, frankly, see their positions threatened by one of such low birth and meager schooling gaining so much prestige. I would advise you to consider whether it is worth protecting this young lass at so great a potential cost.';Votre [Root.GetLordSpiritualName] [Root.job_spiritual.GetFullName] vient vous voir un matin pour aborder des sujets légers. Et puis : ''Mon/ma [Root.GetLordLady], le clergé voit d'un très mauvais œil l'intérêt porté à cette jeune femme, [From.GetFirstName]. Les propos qu'elle tient, certains dans l'Église les considèrent comme hérétiques. Quant aux autres, pour être honnête, ils pensent que leur position est menacée par le prestige dont bénéficie une femme de si basse extraction, si peu éduquée. Est-il dans votre intérêt de protéger cette jeune femme et de payer un prix si élevé ? Je vous laisse y réfléchir.'';Euer [Root.GetLordSpiritualName] [Root.job_spiritual.GetFullName] kommt eines Morgens zu Euch, um offen mit Euch zu sprechen: 'Mein [Root.GetLordLady], der Klerus ist sehr unzufrieden mit dem Aufstieg dieser jungen Dame, [From.GetFirstName]. Ihre Rede ist ketzerisch, in den Augen vieler Angehöriger der heiligen Kirche. Andere sehen sie als Gefahr für ihren Stand, denn sie ist von niederer Geburt und zu Ansehen gekommen, obwohl sie ohne Bildung ist. Ich frage mich, ob es nicht zu riskant ist, dieses Gör weiter zu schützen. Der Preis dafür könnte enorm sein.';;Vuestro [Root.GetLordSpiritualName] [Root.job_spiritual.GetFullName] se os acerca una mañana para mantener una conversación sincera. “Mi [Root.GetLordLady], el clero está muy disgustado ante el ascenso de esta joven, [From.GetFirstName]. Algunos componentes de la Santa Iglesia consideran que es una hereje y, otros, francamente, ven su posición amenazada ante el gran prestigio adquirido por alguien de baja cuna y escasos estudios. Os recomiendo que consideréis si vale la pena proteger a esta joven muchacha, cuando el coste pudiera ser tan alto.”;;;;;;;;;x
EVTOPTA_SoA_5368;Please remind these clergymen who is [Root.GetTitle].;Rendez-moi service, rappelez à ces ecclésiastiques qui dirige ici.;Bitte erinnert die Geistlichkeit daran, wer der [Root.GetTitle] ist.;;Por favor, recordad al clero quién es [Root.GetTitle].;;;;;;;;;x
EVTOPTB_SoA_5368;She is merely a tool, the Church has nothing to fear.;Elle n'est qu'un instrument. L'Église n'a aucune crainte à avoir.;Sie ist nur ein Werkzeug. Die Kirche hat nichts zu befürchten.;;Sólo es una herramienta, la Iglesia no tiene nada que temer.;;;;;;;;;x
EVTOPTC_SoA_5368;Very well, we will put her on trial and see if she is a heretic.;Très bien, jugeons-la et nous verrons si c'est une hérétique.;Nun gut, ich werde sie vor Gericht stellen und feststellen, ob sie eine Ketzerin ist.;;Muy bien, la juzgaremos y veremos si es una hereje.;;;;;;;;;x
EVTNAME_SoA_5370;The influence of [From.GetFirstName];L'influence de [From.GetFirstName];Der Einfluss von [From.GetFirstName];;La influencia de [From.GetFirstName];;;;;;;;;x
EVTDESC_SoA_5370;These are unusual times. [From.GetFirstName]'s influence is felt all around, wherever you go. There is a surge in religiosity among the commoners, who see her as a national saviour and almost a Christ-figure. Among the nobles many are charmed by her pious innocence and energetic zeal, in spite of most of them also viewing her as a dangerous upstart. Meanwhile, the clergy is divided, some seeing a heretic and others a saint.;Nous vivons une époque peu commune. L'influence de [From.GetFirstName] se fait sentir où que vous alliez. Le peuple connaît un regain de religiosité et la voit comme un sauveur national, presque comme le Christ lui-même. Parmi les nobles, nombreux sont ceux qui sont tombés sous le charme de son innocence pieuse et de son zèle énergique, même si la plupart la considèrent comme une dangereuse arriviste. Quant au clergé, il est divisé : certains voient en elle une hérétique, d'autres une sainte.;Es sind seltsame Zeiten. Der Einfluss von [From.GetFirstName] ist spürbar, wo man hinkommt. Eine Welle der Religiösität hat das einfache Volk erfasst und man schaut zu ihr auf wie zu einem Messias. Der Adel ist angetan von ihrer frommen Unschuld und dem tatkräftigen, religiösen Eifer, auch wenn man sie vielerorts für einen gefährlichen Emporkömmling hält. Der Klerus ist in ihrer Frage gespalten. Während die einen sie für eine Heilige halten, ist sie für andere schlicht eine Ketzerin.;;Son tiempos poco corrientes. La influencia de [From.GetFirstName] se percibe en todas partes, allá donde estéis. Hay una oleada de religiosidad entre la plebe, que la considera una salvadora nacional y casi una figura de Cristo. Entre los nobles, muchos están hechizados por su inocencia pía y su enérgico entusiasmo, pero la mayoría la ve como una advenediza peligrosa. Mientras, el clero está dividido: algunos la ven como una hereje y otros, como una santa.;;;;;;;;;x
EVTOPTA_SoA_5370;We should all try to be more like her.;Nous devrions tous la prendre en exemple.;Wir sollten uns alle ein Beispiel an ihr nehmen.;;Todos deberíamos intentar ser como ella.;;;;;;;;;x
EVTOPTB_SoA_5370;I dislike fanatics, but I will suffer her for now.;Je n'aime pas les fanatiques, mais je m'accommode de sa présence pour le moment.;Fanatiker sind mir zuwider, aber wir werden sie fürs Erste ertragen.;;No me gustan los fanáticos, pero por ahora la soportaré.;;;;;;;;;x
EVTNAME_SoA_5373;A common girl from [From.GetName];Une paysanne de [From.GetName];Ein einfaches Mädchen aus [From.GetName];;Una amiga común de [From.GetName];;;;;;;;;x
EVTDESC_SoA_5373;Your [Root.GetChancellorName] [Root.job_chancellor.GetFullName] comes to see you, a look of worry on [Root.job_chancellor.GetHerHis] face. [Root.job_chancellor.GetSheHe] explains that there are increased grumblings among the nobles regarding the position of your protegé [FromFrom.GetFirstName]. Many of them refuse to accept that a lowborn woman from [From.GetName], however competent and pious, be continuously given so many privileges normally reserved for nobility. It sets a bad example for the peasants and may cause unrest, they fear. There have also been numerous incidents of perceived insults and scandals of protocol between [FromFrom.GetFirstName] and various prestigious army commanders.\n\nIt seems many nobles feel they have suffered her too long, and some still entertain the idea of demanding her arrest and trial for heresy.;Votre [Root.GetChancellorName] [Root.job_chancellor.GetFullName] vient vous voir l'air inquiet. [Root.job_chancellor.GetSheHe] vous fait part du mécontentement grandissant au sein de la noblesse concernant la position accordée à votre petite protégée [FromFrom.GetFirstName]. Nombreux sont ceux qui refusent d'admettre que cette paysanne de [From.GetName], qui est pourtant pieuse et compétente, reçoive tant de privilèges qui reviennent à la noblesse. C'est un très mauvais exemple pour les paysans qui pourraient causer de l'agitation, craignent-ils. De nombreux incidents ont également été rapportés, insultes et manquements au protocole, impliquant [FromFrom.GetFirstName] et divers généraux.\n\nDe nombreux nobles estiment qu'ils l'ont endurée trop longtemps, et certains envisagent toujours de la faire arrêter et juger pour hérésie.;Euer [Root.GetChancellorName] [Root.job_chancellor.GetFullName] kommt zu Euch, [Root.job_chancellor.GetHerHis] Gesicht voller Sorge. [Root.job_chancellor.GetSheHe] berichtet von einer wachsenden Unzufriedenheit des Adels angesichts Eures Protegés [FromFrom.GetFirstName]. Große Teile des Adels weigern sich, die Vielzahl der Privilegien für eine Frau von so niederer Herkunft wie [From.GetName] zu akzeptieren, ganz gleich wie fähig oder fromm sie auch sein mag. Unruhe in der Landbevölkerung sei langfristig die Folge. Außerdem sei es immer wieder zu Konflikten zwischen [FromFrom.GetFirstName] und verschiedenen angesehenen Kommandaten der Armee gekommen.\n\nAnscheinend ist die Geduld des Adels mittlerweile erschöpft und einige spielen mit dem Gedanken, sie zu inhaftieren und der Ketzerei anzuklagen.;;Vuestro [Root.GetChancellorName] [Root.job_chancellor.GetFullName] viene a veros, con la preocupación reflejada en [Root.job_chancellor.GetHerHis] cara. [Root.job_chancellor.GetSheHe] explica que cada vez son más las quejas de los nobles acerca de la posición de vuestra protegida [FromFrom.GetFirstName]. Muchos se niegan a aceptar que una mujer de baja cuna de [From.GetName], aunque competente y pía, reciba constantemente tantos privilegios normalmente reservados a la nobleza. Crea un mal precedente para los campesinos y temen que pueda generar malestar. También se han producido varios incidentes considerados insultos y escándalos protocolarios entre [FromFrom.GetFirstName] y varios comandantes militares prestigiosos.\n\nParece que muchos nobles consideran que ya la han aguantado bastante y algunos incluso abrigan la idea de exigir que sea arrestada y juzgada por herejía.;;;;;;;;;x
EVTOPTA_SoA_5373;Bah! Their own incompetence makes them envious.;C'est leur propre incompétence qui les rend jaloux.;Pah! Ihre Missgunst speist sich bloß aus der eigenen Inkompetenz!;;¡Bah! Su propia incompetencia es el origen de la envidia.;;;;;;;;;x
EVTOPTB_SoA_5373;I shall force her to speak more humbly henceforth.;Je la contraindrai à se comporter avec davantage d'humilité.;Ich werde mehr Respekt von ihr fordern.;;La obligaré a que en adelante hable con más humildad.;;;;;;;;;x
EVTOPTC_SoA_5373;Not noble enough? Bring her before me and I shall knight her!;Pas assez noble ? Faites-la venir, que je l'adoube sans attendre !;Nicht adlig genug? Dann bringt sie zu mir und ich werde sie zum Ritter schlagen!;;¿No es lo bastante noble? ¡Traédmela y la armaré caballero!;;;;;;;;;x
EVTOPTD_SoA_5373;I cannot abide this any longer. Put her in chains!;J'en ai assez entendu. Enchaînez-la !;Ich werde dies nicht mehr länger mitansehen. Legt sie in Ketten!;;No puedo soportarlo más. ¡Encadenadla!;;;;;;;;;x
EVTNAME_SoA_5382;[From.GetFirstName] marries;[From.GetFirstName] se marie;[From.GetFirstName] heiratet;;[From.GetFirstName] se casa;;;;;;;;;x
EVTDESC_SoA_5382;Never has the realm seen so much attention focused on the wedding of one who is not of noble birth. The wedding of [From.GetFirstName] has caused ringing of churchbells and impromptu feasts and prayers among the common folk all around the country.\n\nNo longer a maid perhaps, but an icon of the realm still, and even the [Root.GetTitle] should make sure to make a public toast to the newly-weds.;Le royaume n'a jamais connu une telle attention portée au mariage d'une personne n'appartenant pas à la noblesse. Le mariage de [From.GetFirstName] s'est accompagné de volées de cloches, de festins impromptus et de prières partout dans le pays.\n\nElle n'est plus la Pucelle, mais elle demeure une icône du royaume, et même le/la [Root.GetTitle] se doit de lever son verre en l'honneur des jeunes mariés.;Noch nie gab es im Reich so viel Interesse an einer nicht-adligen Hochzeit. Die Kirchenglocken des ganzen Landes künden von der Hochzeit von [From.GetFirstName] und überall feiert und betet das einfache Volk für das Paar.\n\nAuch wenn sie nun keine Jungfrau mehr ist, eine Volksheldin ist sie geblieben. Dies sollte der [Root.GetTitle] würdigen und und den Frischverheirateten offiziell seine guten Wünsche mit auf den Weg geben.;;Nunca el reino había prestado tanta atención a la boda de alguien que no fuera de noble cuna. La boda de [From.GetFirstName] ha provocado el tañido de las campanas de las iglesias y fiestas espontáneas entre el pueblo por todo el país.\n\nPuede que ya no sea una doncella, pero sigue siendo un icono del reino, por lo que el [Root.GetTitle] debería hacer un brindis público por los recién casados.;;;;;;;;;x
EVTOPTA_SoA_5382;Indeed!;C'est bien vrai !;Ganz recht!;;¡Por supuesto!;;;;;;;;;x
EVTNAME_SoA_5385;[From.GetFirstName] the mother;[From.GetFirstName] la mère;Das Mutterglück der [From.GetFirstName];;[From.GetFirstName] la madre;;;;;;;;;x
EVTDESC_SoA_5385;[From.GetFirstName] the Hero she used to be, but no longer. Some of her followers speak of a virgin birth, though such talk is frowned upon by the clergy. The image of [From.GetFirstName] has now changed in the eyes of many, but she continues to be a focus of adulation, and very soon after the birth she has once again taken up her sword and saddled her horse.;[From.GetFirstName] n'est plus la Pucelle. Certains de ses disciples disent qu'elle est enceinte par la volonté du Saint-Esprit, même si l'Église désapprouve ces propos. L'image de [From.GetFirstName] a changé pour beaucoup de gens mais elle demeure source de vénération et, peu de temps après son accouchement, la voilà à nouveau à cheval, l'épée à la main.;Man nannte sie [From.GetFirstName], die Jungfrau, doch diese Zeiten sind vorbei. Manche ihrer Anhänger sprechen zwar noch von einer jungfräulichen Empfängnis, doch solche Rede sorgt für Missfallen auf Seiten der Kirche. Viele haben ihre Sicht auf [From.GetFirstName] geändert, aber nach wie vor hat sie viele Bewunderer. So heißt es, sie habe kurz nach der Niederkunft bereits wieder das Schwert gegürtet und ihr Pferd schon wieder gesattelt.;;[From.GetFirstName] ya no es la doncella que era. Muchos de sus seguidores hablan de nacimiento virginal, aunque la Iglesia lo desaprueba. La imagen de [From.GetFirstName] ha cambiado para muchos, pero sigue siendo un centro de adulación y muy pronto después del nacimiento ha vuelto a empuñar su espada y a montar su caballo.;;;;;;;;;x
EVTOPTA_SoA_5385;So strong!;Elle est si forte !;Welch Stärke!;;¡Es tan fuerte!;;;;;;;;;x
EVTNAME_SoA_5391;The trial of [From.GetFirstName];Le procès de [From.GetFirstName];[From.GetFirstName] unter Anklage;;El juicio de [From.GetFirstName];;;;;;;;;x
EVTDESC_SoA_5391;[From.GetFirstName] has been put on trial for heresy. She claims to be sent by [Root.Religion.GetRandomGodName], to be his messenger. She is accused of being sent by the [Root.Religion.GetRandomEvilGodName], and of claiming to be [Root.Religion.GetRandomGodName]'s chosen one, and of sinning by wearing men's attire, among other things. The judges come mostly from the clergy, and they begin a hard line of questioning against the young woman. There is unrest outside the castle where the trial is held, as many followers have come to pray for her and express their belief in her innocence. This trial seems set to last for a while.;[From.GetFirstName] est actuellement jugée pour hérésie. Elle dit être l'envoyée du Christ, sa messagère. Elle est accusée, entre autres choses, d'être l'envoyée du démon, de s'être fait passer pour la fille de Dieu et d'avoir pêché en portant des vêtements d'hommes. Les juges sont principalement des hommes d'église et ils se livrent à un interrogatoire intense sur la jeune femme. L'agitation est manifeste autour du château où se déroule le procès et de nombreux disciples sont venus prier pour elle et défendre son innocence. Le procès est bien parti pour durer.;[From.GetFirstName] wird wegen Ketzerei der Prozess gemacht. Sie behauptet, Christus habe sie gesandt und dass sie seine Botschafterin sei. Die Anklage wirft ihr vor, eine Abgesandte des Teufels zu sein, die von sich behauptet habe, die Tochter Gottes zu sein. Desweiteren wirft man ihr das Tragen von Männerkleidung vor und weitere Vergehen. Die Richter, bei denen es sich größtenteils um Angehörige des Klerus handelt, unterziehen die Angeklagte einer strengen Befragung. Vor den Mauern der Burg, die als Verhandlungsort dient, haben sich viele Menschen versammelt, um für die Angeklagte zu beten. Aller Voraussicht nach wird sich diese Verhandlung noch eine ganze Weile hinziehen.;;[From.GetFirstName] ha sido sometida a juicio por herejía. Afirma que la envía Dios, que es su mensajera. Se le acusa de ser enviada por el Demonio, de afirmar ser la hija de Dios y pecadora por vestir como un hombre, entre otras cosas. Los jueces son en su mayoría del clero y comienzan un duro interrogatorio contra la joven. El malestar reina fuera del castillo, donde se celebra el juicio, pues muchos seguidores han llegado a rezar por ella y a demostrar que confían en su lealtad. Parece que este juicio será largo.;;;;;;;;;x
EVTOPTA_SoA_5391;The truth shall be our only concern.;La vérité est notre seule priorité.;Nichts als die Wahrheit wollen wir finden.;;Sólo nos importa la verdad.;;;;;;;;;x
EVTNAME_SoA_5392;The trial of [FromFrom.GetFirstName] – judgement;Le procès de [FromFrom.GetFirstName] – le jugement;[FromFrom.GetFirstName] wird angeklagt – das Urteil;;El juicio de [FromFrom.GetFirstName] – sentencia;;;;;;;;;x
