VIET_awkward_encounter_public;Awkward Encounter in Public;Rencontre maladroite en public;;;;;;;;;;;;x
VIET_province_death_of_several_officials_desc;Several important local officials happened to die around the same time. This will have a negative impact on the region's ability to govern itself effectively, at least in the short term.;Plusieurs fonctionnaires locaux importants sont morts à peu près au même moment. Cela aura un impact négatif sur la capacité de la région à se gouverner efficacement, au moins à court terme.;;;;;;;;;;;;x
VIET_province_secretly_corrupt_official_dies;Secretly Corrupt Official Dies;Décès d'un fonctionnaire secrètement corrompu;;;;;;;;;;;;x
VIET_province_secretly_corrupt_official_dies_desc;For years, a local official fooled everyone into thinking he was a benevolent figure. Recently, after his death, everyone learned the truth of his depraved levels of corruption. Still, at least now the area will do much better without his machinations.;Pendant des années, un fonctionnaire local a fait croire à tout le monde qu'il était un personnage bienveillant. Récemment, après sa mort, tout le monde a appris la vérité sur ses niveaux dépravés de corruption. Pourtant, au moins maintenant, la région se portera beaucoup mieux sans ses machinations.;;;;;;;;;;;;x
VIET_province_holy_hermit_passes_away;Famous Hermit Passes Away;Mort d'un célèbre Ermite;;;;;;;;;;;;x
VIET_province_holy_hermit_passes_away_desc;For years a famous hermit dwelled in the wilderness of this region, engaging in spiritual practices while giving the locals guidance and spiritual support. He has recently passed away, but his place of death has become a minor site of pilgrimage.;Pendant des années, un ermite célèbre a vécu dans la nature sauvage de cette région, s'adonnant à des pratiques spirituelles tout en donnant aux habitants des conseils et un soutien spirituel. Il est décédé récemment, mais son lieu de mort est devenu un lieu de pèlerinage mineur.;;;;;;;;;;;;x
VIET_province_old_runestone_found;Old Runestone Found;Vieille pierre runique trouvée;;;;;;;;;;;;x
VIET_province_grandmother_passes_away;Beloved Grandmother Passes Away;Mort de la grand-mère bien-aimée;;;;;;;;;;;;x
VIET_province_grandmother_passes_away_desc;An elder in one of the local villages was respected all over the region for his wisdom, humility, and kindness to all. Nicknamed the "grandmother of all," her recent death has led to an outpouring of grief and support among the locals, who claim her spirit now watches over everyone.;Un ancien d'un des villages locaux était respecté dans toute la région pour sa sagesse, son humilité et sa gentillesse envers tous. Surnommée la "grand-mère de tous", sa mort récente a provoqué un déferlement de chagrin et de soutien parmi les habitants du village, qui affirment que son esprit veille désormais sur tout le monde.;;;;;;;;;;;;x
VIET_friendly_ghost_stalker;Friendly Ghost;Fantôme amical;;;;;;;;;;;;x
VIET_friendly_ghost_stalker_desc;They say a friendly and playful spirit is attached to this character, following them around secretly to help them in various tasks. Mere superstition or the truth? It's hard to say.;Ils disent qu'un esprit amical et joueur est attaché à ce personnage, les suivant en secret pour les aider dans diverses tâches. Simple superstition ou vérité ? C'est difficile à dire.;;;;;;;;;;;;x
VIET_servants_death_love_lesson;Life Lesson about Lost Love;Leçon de vie sur l'amour perdu;;;;;;;;;;;;x
VIET_final_journey_dream_relative;Dream of the Final Journey;Rêve du voyage final;;;;;;;;;;;;x
VIET_final_journey_dream_relative_desc;Before this character's relative died recently, their relative fell into a deep sleep and was heard mumbling a conversation with their deceased grandparent. While they were still unconscious, they muttered some indiscernible words, in a manner which would remind one of the sound of a gentle breeze beneath the azure sky. Their last words, which could barely be heard, was: "I love you.";Avant que le parent de ce personnage ne décède récemment, leur proche est tombé dans un sommeil profond et a été entendu marmonner une conversation avec leur grand-parent décédé. Alors qu'ils étaient encore inconscients, ils ont marmonné des mots indiscernables, d'une manière qui rappelle le son d'une douce brise sous le ciel d'azur. Leurs derniers mots, qui pouvaient à peine être entendus, étaient "Je t'aime.";;;;;;;;;;;;x
VIET_nobleman_with_criminal_problems;Nobleman with Criminal Problems;Un noble aux problèmes criminels;;;;;;;;;;;;x
VIET_nobleman_with_criminal_problems_desc;This man was once a target of the local criminal gangs before a merciful lord or lady decided to help them out.;Cet homme était autrefois la cible des gangs criminels locaux avant qu'un seigneur ou une dame miséricordieuse ne décide de les aider.;;;;;;;;;;;;x
VIET_quick_witted_savior;Quick-Witted Servant;Serviteur à l'esprit vif;;;;;;;;;;;;x
VIET_quick_witted_savior_desc;This character was once a humble servant who was elevated to a higher court position after he or she saved the life of another servant using their quick wits.;Ce personnage était autrefois un humble serviteur qui a été élevé à un poste à la cour supérieure après avoir sauvé la vie d'un autre serviteur grâce à sa vivacité d'esprit.;;;;;;;;;;;;x
VIET_kaffir_lime_shampoo;Kaffir Lime Shampoo;Shampoing Kaffir à la chaux;;;;;;;;;;;;x
VIET_majoram_tea;Drinking Majoram Tea;A bu du thé Majoram;;;;;;;;;;;;x
VIET_mastic_gum;Chewing Mastic Gum;Gomme à mâcher;;;;;;;;;;;;x
VIET_musk_mallow;Musk Mallow Perfume;Parfum de mauve musquée;;;;;;;;;;;;x
VIET_cooks_using_nutmeg;Cooks Using Nutmeg;Cuisiniers utilisant la noix de muscade;;;;;;;;;;;;x
VIET_cooks_using_oregano;Cooks Using Oregano;Cuisiniers utilisant de l'origan;;;;;;;;;;;;x
VIET_cooks_using_parsley;Cooks Using Parsley;Cuisiniers utilisant du persil;;;;;;;;;;;;x
VIET_opinion_kaffir_lime_shampoo_gift;Gifted me Kaffir Lime shampoo;M' offert du shampoing Kaffir Lime;;;;;;;;;;;;x
VIET_opinion_musk_mallow_gift;Gifted me Musk Mallow perfume;M'a offert du parfum à la mauve musquée;;;;;;;;;;;;x
VIET_had_disgusting_medicine;Took Disgusting Medicine;A pris des médicaments dégoûtants;;;;;;;;;;;;x
VIET_had_disgusting_medicine_desc;Maybe one day, someone brilliant will invent medicine that does not taste horrible. Until then, the world waits.;Peut-être qu'un jour, quelqu'un de brillant inventera une médecine qui n'aura pas un goût horrible. D'ici là, le monde attend.;;;;;;;;;;;;x
VIET_intellectual_conversation;Intellectual Conversation;Conversation intellectuelle;;;;;;;;;;;;x
VIET_intellectual_conversation_desc;To have an enlightening, thoughtful discussion with someone is a rare treasure that should be cherished in these dark times.;Avoir une discussion éclairante et réfléchie avec quelqu'un est un trésor rare qui devrait être chéri en ces temps sombres.;;;;;;;;;;;;x
VIET_drinking_basic_tonic;Drinking Herbal Tonic;A bu du tonique aux herbes;;;;;;;;;;;;x
VIET_drinking_basic_tonic_desc;This combination of herbs, plants, animal parts, bones, and rocks has been verified by learned and knowledgeable medical practicioners to be one of the most effective health tonics currently available to most people, rich and poor alike.;Cette combinaison d'herbes, de plantes, de parties d'animaux, d'os et de roches a été vérifiée par des praticiens médicaux érudits et bien informés comme étant l'un des toniques de santé les plus efficaces actuellement disponibles pour la plupart des gens, riches et pauvres.;;;;;;;;;;;;x
VIET_stays_up_late_night;Stays Up Late At Night;Rester debout tard dans la nuit;;;;;;;;;;;;x
VIET_stays_up_late_night_desc;Some people prefer the night to the day, when they can be by themselves to do what they enjoy.;Certaines personnes préfèrent la nuit au jour, où elles peuvent être seules pour faire ce qui leur plaît.;;;;;;;;;;;;x
VIET_opinion_played_game;Played game together;Ont joué ensemble;;;;;;;;;;;;x
VIET_opinion_doesnt_approve_games;Doesn't approve of gaming habit;N'approuve pas les habitudes de jeu;;;;;;;;;;;;x
VIET_opinion_gamer_loser;Pathetically obsessed with games;Pathétiquement obsédé par les jeux;;;;;;;;;;;;x
VIET_opinion_taught_me_game_tricks;Gave me tips and tricks about my favorite game;M'a donné des conseils et des astuces sur mon jeu préféré;;;;;;;;;;;;x
VIET_stays_up_late_night;Stays Up Late at Night;Reste debout tard dans la nuit;;;;;;;;;;;;x
VIET_stays_up_late_night_desc;"Surely staying awake for one more hour won't hurt me....";"Rester éveillé une heure de plus ne me fera sûrement pas de mal...";;;;;;;;;;;;x
VIET_personal_guards_get_adventurer_tips;Guards Given Adventurer's Advice;Conseils d'un aventurier reçus par les gardes;;;;;;;;;;;;x
VIET_personal_guards_get_adventurer_tips_desc;An adventurer helped this character's guards track down a band of troublesome bandits, and afterwards provided the guards with some useful advice and tips.;Un aventurier a aidé les gardes de ce personnage à traquer une bande de bandits gênants, et leur a ensuite donné quelques conseils et astuces utiles.;;;;;;;;;;;;x
VIET_anvil_siren_helper_female;Assisted Against Siren Gang;A assisté contre le gang des sirènes;;;;;;;;;;;;x
VIET_anvil_siren_helper_female_desc;This woman was once a cuning adventurer who helped a ruler track down an all-female gang of bandits who used seduction to rob men. She pretended to want to join their gang, but in reality was helping set up an ambush for the ruler's guards.;Cette femme était autrefois une aventurière cunilingue qui a aidé un dirigeant à traquer une bande de bandits entièrement féminine qui utilisait la séduction pour voler des hommes. Elle prétendait vouloir rejoindre leur gang, mais en réalité, elle aidait à préparer une embuscade pour les gardes du dirigeant.;;;;;;;;;;;;x
VIET_anvil_siren_helper_male;Assisted Against Siren Gang;A assisté contre le gang des sirènes;;;;;;;;;;;;x
VIET_anvil_siren_helper_male_desc;This man was once a cuning adventurer who helped a ruler track down an all-female gang of bandits who used seduction to rob men. He pretended to fall for the gang's tricks, but in reality was helping set up an ambush for the ruler's guards.;Cet homme était autrefois un aventurier cunilingue qui aidait un dirigeant à traquer une bande de bandits entièrement féminine qui utilisait la séduction pour voler des hommes. Il prétendait tomber dans le piège du gang, mais en réalité il aidait à préparer une embuscade pour les gardes du dirigeant.;;;;;;;;;;;;x
VIET_province_famous_baklava;Famous for its Baklava;Célèbre pour son baklava;;;;;;;;;;;;x
VIET_province_famous_baklava_desc;Baklava is a delicious pastry made from layers of dough filled with all manner of honey, syrup, nuts, and so on.;Le baklava est une délicieuse pâtisserie faite de couches de pâte remplies de toutes sortes de miel, de sirop, de noix, etc.;;;;;;;;;;;;x
VIET_scarborough_fair_lesson;Lesson of Scarborough Fair;Leçon de la foire de Scarborough;;;;;;;;;;;;x
VIET_scarborough_fair_lesson_desc;"Are you going to Scarborough Fair?\nParsley, sage, rosemary, and thyme.\nRemember me to one who lives there\nShe once was a true love of mine.";"Allez-vous à la foire de Scarborough ? Parsley, sauge, romarin et thym.\nSouvenez-vous de celle qui y vit.\nElle était autrefois un véritable amour pour moi.";;;;;;;;;;;;x
xxxxxxxxxx;xxxxx;xxxxx;;;;;;;;;;;;x
