#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPAffescape.3;I trust my skills.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTBffescape.3;No, I will not gamble with my life.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.4;The guard ask for some guarantee. I decide to leave him with my ring and a small perchment with my signature. I assure him he will be handsomely paid for this. The more we talk, the more I worry about this guard's reliability...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.4;If he doesn't get me killed, he'll certainly leave my finances in ruins.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPAffescape.4;The guard will expect a payment of 50 gold coins later on!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTBffescape.4;I can think of a better way to escape. And I don't trust the guard.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.5;What? What do you mean you haven't spoken to the other guard? At least, get him some ale so he'll be less likely to be awake...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.5;Let's improvise.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.6; At nighttime, we try to sneak past the other guard, who -according to plan- was happy to drink all the ale and now is deep asleep in the corner.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.6;Almost there!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.7;At nighttime, we try to sneak past the other guard, who -according to plan- was happy to drink all the ale. But the guard is still quite awake...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.7;This is not good.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.8;A young wench comes every morning to bring some pottage and bread to the guards. She never speaks a word but eyes me slyly. Is she amused? Or harbouring deeper feelings towards me?\nOne day, when there's no one close by, I gesture for her to come closer...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.8;Let me praise her beauty to captive her first.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPAffescape.8;I trust my diplomatic skills.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTBffescape.8;I have some gold coins hidden in my undergarment...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPBffescape.8;I will buy the wench's help.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTCffescape.8;Such an innocent soul can be easy prey to my sweet empty promises.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPCffescape.8;I will make use of my intrigue skills.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.10; And I had to face this unruly beast with my bare hands. He picked his axe and came roaring in my direction. Before the sharp steel met my flesh, the other guard interceded with a good hit behind his back. The drunken fellow fell flat on his face while the axe tumbled in the air...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.10;...and sunk deep into my foot!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.11;My accomplice led me to the exit and pointed to a saddled horse waiting for me on the courtyard. Before letting me go, he gave me a wooden sword and asked me to hit him in the head. The bruise will later be used as evidence of my "sneak attack". I daresay he proved to be quite crafty afterall.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.11;Now, turn around and bow your head a bit. Yes. Stand still...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.13;She seems taken by words I memorized from those old love poems. She promises she'll help me tomorrow. She has to provide for a horse to make sure I'll be far and away once the guards notice my absence.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.13;Perfect.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.14;She seems taken by me. As I am taken by her. The more I speak of my feelings, the truer they become to me. There's so much beauty and sweetness in her manners.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.14;Can she see we are destined to be together?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.15;On a rainy night, she brings some female friends to entertain the guards.\nHow mischievous and resourceful!\nThere is also something for me, \nhidden inside a basket: a wig...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.15;...and a dress?!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.16;I instruct her to feed the guards with spoiled food. While they're away unburdening themselves, I shall take my chances and flee.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.16;I am the master of intrigue.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.17;I instruct her to bring some female friends to entertain the guards. Also, a copy of the dungeon's key is made and inserted into my daily portion of bread.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.17;A very clever plan, if I may say so myself.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.18;I instruct her to feed the guards with spoiled food. While they're away unburdening themselves, I shall take my chances and flee.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.18;Almost there!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.19;Now that I'm disguised as a monk and I mount the horse, I plead for her to run away. It's very likely they will suspect her of helping me. The young maiden says she doesn't know any other place. What can she do?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.19;A pity.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.20;She very skillfully arranged to get the key to the door from one of the guards. We have a few minutes before \nthey'll notice my absence.\nI worry for her safety. So, before leaving, I have to ask:;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.20;Will you come with me?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.21;During nighttime, I feel something poking me. Everything is darkness, I can barely see. I hear her say: "come, we must haste". I wonder what kind of mad love leads her to risk so much to help me like this. Outside she points to the horse in the courtyard. So I assume this is farewell.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.21;Thank you, dear lady.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.22;While I sneak towards the horse, I feel a cold sharp dagger needling my throat. It's the wench. She says: "Before leaving, wouldn't you let me have some souvenir from your lordship?". Should I propose a kiss? "I'd rather have your ring". I try to take it away but my hands are sweaty and the ring will not budge. She brings the dagger closer...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.22;A finger for a ring?!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPAffescape.22;Will lose a finger.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.23;During nighttime, I feel something poking me. Everything is darkness, I can barely see. I hear her say: "come, we must haste". I wonder what kind of mad love leads her to risk so much to help me like this. Outside she points to the horse in the courtyard. So I assume this is farewell.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.23;Thank you, dear lady.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffescape.30;During nighttime, the door was left unlocked.\nI fearfully dashed for freedom. In complete darkness, I bumped into walls and suffered a few scrapes and scares until an exit was found.\nOutside, a saddled horse was waiting for me.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffescape.30;But... one of the other guards saw me.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffbattle.1;Some of our men are running away from the enemy...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffbattle.1;Let them. Who needs lowly peasants on our side?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTBffbattle.1;Have our mounted knights slay them all!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffbattle.2;A knight asks permission to spare one \nof the cowards who ran away.\nIt seems the craven is \nalready badly hurt...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffbattle.2;Let [Root.Religion.GetRandomGodName] be his judge.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTBffbattle.2;No mercy for cowards. Off with his head!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffbattle.3;Blood drinker?!\nThose are rumours spread by \nthe enemy to poison the people \nagainst me!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAffbattle.3;I am an honourable [Root.GetManWoman].;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCffstain.1;My dynasty committed harsh acts of tyranny.\nBut my rule will be different...\n...if my subjects obey me promptly.;;;;;;;;;;;;;x;
EVTOPTAffstain.1;I am a merciful and open-hearted [From.GetTitle].;;;;;;;;;;;;;x;
EVTTOOLTIPffstain.2;receives a message from [Root.GetTitledFirstName];!;!;;!;;;;;;;;;x
EVTDESCffstain.2;Dear [Root.GetBestName],\nlet us forgive my family's past indiscretions.\nFrom here on now, I expect your oath to be kept in good faith and without any deceit or fraud.\nGreetings from [From.GetTitledFirstName];;;;;;;;;;;;;x;
EVTOPTAffstain.2;Better pretend we agree...;;;;;;;;;;;;;x;
EVTOPTBffstain.2;Oh, how I'd like to make this dog taste my sword!;;;;;;;;;;;;;x;
EVTDESCffstain.3;My dear [Root.GetBestName],\nmaster of prudence and vigor, \nyou are the shepard. \nWe are your flock.\nFaithful to you always.;;;;;;;;;;;;;x;
EVTOPTAffstain.3;[From.GetTitledFirstName] bends [From.GetHerHis] knee.;;;;;;;;;;;;;x;
EVTTOOLTIPffstain.3;receives a strong message of support from [Root.GetTitledFirstName];!;!;;!;;;;;;;;;x
EVTDESCffstain.4;Dear [Root.GetBestName],\nplace your hope in no man, draw your\nwhole mind to trust in almighty God.\nThose who hear his words are blessed \nwith all the love and support \nthey request.\nFarewell\n[From.GetTitledFirstName];;;;;;;;;;;;;x;
EVTOPTAffstain.4;Hmmm...;;;;;;;;;;;;;x;
EVTTOOLTIPffstain.4;receives a dubious message of support from [Root.GetTitledFirstName].;;;;;;;;;;;;;x;
EVTDESCffstain.5;My predecessor committed harsh acts of tyranny.\nLet me show my subjects I am a very different \n-and much more benevolent-\nruler.;;;;;;;;;;;;;x;
EVTOPTAffstain.5;Can I count on your support, my dear friend?;;;;;;;;;;;;;x;
EVTTOOLTIPffstain.6;receives a message from [Root.GetTitledFirstName];!;!;;!;;;;;;;;;x
EVTDESCffstain.6;Dear [Root.GetBestName],\nI deeply rue all past wrongdoing and \noffense committed by my family.\nHere I pledge to rebuild burnt bridges.\nIn return, I can only hope your generosity will forgive past sins as well as see me fit \nas a Lord and a friend.\nGreetings from [From.GetTitledFirstName];;;;;;;;;;;;;x;
EVTOPTAffstain.6;Since [From.GetTitledFirstName] choose [From.GetHerHim] words so wisely...;;;;;;;;;;;;;x;
EVTOPTBffstain.6;I don't trust [From.GetTitledFirstName]. Actions speak louder than words.;;;;;;;;;;;;;x;
EVTDESCffstain.7;To the glorious [Root.GetBestName], \ntogether, we shall heal these wounds from the past.\nI stand by your banner, in full support of \nyour serene and merciful rule.\nYour humble servant,\n[From.GetBestName].;;;;;;;;;;;;;x;
EVTOPTAffstain.7;Good, I can trust [From.GetTitledFirstName] for now.;;;;;;;;;;;;;x;
EVTTOOLTIPffstain.7;receives a strong message of support from [Root.GetTitledFirstName];!;!;;!;;;;;;;;;x
EVTDESCffstain.8;To the reverend [Root.GetBestName],\nHow I suffer to see your crown sink from its height.\nI pray so your vigor will remedy this and give solace to the worthy hope of your friends.\nFarewell\n[From.GetTitledFirstName];;;;;;;;;;;;;x;
EVTOPTAffstain.8;My family's dark deeds makes [From.GetHerHim] suspicious of me.;;;;;;;;;;;;;x;
EVTTOOLTIPffstain.8;receives a neutral message from [Root.GetTitledFirstName].;;;;;;;;;;;;;x;
EVTDESCffriend.1;Along our meetings, there were a few who stood among the rest. There was one who brought us victory by studying our enemy's position and showing us how to take advantage of the terrain we fought in.;Nombre de nobles sont d’excellents soldats et je m’entends particulièrement bien avec certains. Cette campagne m’a permis de tisser de véritables liens d’amitié avec un d’entre eux.;Viele Edelmänner sind auch gute Soldaten, und mit manchen von ihnen komme ich ziemlich gut aus.;;Muchos nobles son buenos soldados, pero con algunos me llevo especialmente bien. En esta campaña he encontrado un amigo de verdad.;;;;;;;;;x
EVTOPTAffriend.1;Yes, we shared a victory and many of our interests and concerns are the same.;Un frère d’armes !;Ein Waffenbruder!;;¡Camarada de armas!;;;;;;;;;x
EVTDESCffriend.2;Along our meetings, there were a few who stood among the rest. There was one who with the uncanny ability to match my thoughts word for word.;Nombre de nobles sont d’excellents soldats et je m’entends particulièrement bien avec certains. Cette campagne m’a permis de tisser de véritables liens d’amitié avec un d’entre eux.;Viele Edelmänner sind auch gute Soldaten, und mit manchen von ihnen komme ich ziemlich gut aus.;;Muchos nobles son buenos soldados, pero con algunos me llevo especialmente bien. En esta campaña he encontrado un amigo de verdad.;;;;;;;;;x
EVTOPTAffriend.2;I suppose great minds think alike.;Un frère d’armes !;Ein Waffenbruder!;;¡Camarada de armas!;;;;;;;;;x
EVTDESCffriend.3;Along our meetings, there were a few who stood among the rest. There was one who would only speak a few words. Yet, those words revealed an unrelenting mind at work.;Nombre de nobles sont d’excellents soldats et je m’entends particulièrement bien avec certains. Cette campagne m’a permis de tisser de véritables liens d’amitié avec un d’entre eux.;Viele Edelmänner sind auch gute Soldaten, und mit manchen von ihnen komme ich ziemlich gut aus.;;Muchos nobles son buenos soldados, pero con algunos me llevo especialmente bien. En esta campaña he encontrado un amigo de verdad.;;;;;;;;;x
EVTOPTAffriend.3;I'd rather have him as a friend than a foe!;Un frère d’armes !;Ein Waffenbruder!;;¡Camarada de armas!;;;;;;;;;x
EVTDESCffriend.4;Along our meetings, there were a few who stood among the rest. There was one who would prove to be a fierce man, lacking no energy whatever the time of day. A true force to be reckoned with.;Nombre de nobles sont d’excellents soldats et je m’entends particulièrement bien avec certains. Cette campagne m’a permis de tisser de véritables liens d’amitié avec un d’entre eux.;Viele Edelmänner sind auch gute Soldaten, und mit manchen von ihnen komme ich ziemlich gut aus.;;Muchos nobles son buenos soldados, pero con algunos me llevo especialmente bien. En esta campaña he encontrado un amigo de verdad.;;;;;;;;;x
EVTOPTAffriend.4;I'm glad to count him by my side.;Un frère d’armes !;Ein Waffenbruder!;;¡Camarada de armas!;;;;;;;;;x
EVTDESCffriend.10;Having gained my trust in matters of life and death, I now consider [From.GetTitledName] a valued friend.;Cette campagne a prouvé que [From.GetTitledName] est de bonne compagnie. J’attache une grande importance à ce qu’il dit et je lui fais entièrement confiance sur le champ de bataille.;Bei diesem Feldzug hat sich herausgestellt, dass man mit [From.GetTitledName] gut die Zeit verbringen kann. Ich schätze [From.GetHerHis] Meinung sehr und vertraue [From.GetHerHim] auf dem Schlachtfeld.;;Esta campaña me ha demostrado que [From.GetTitledName] es una persona con la que merece la pena estar. Tengo en muy alta estima su opinión, y confío en [From.GetHerHim] en el campo de batalla.;;;;;;;;;x
EVTOPTAffriend.10;A Brother in Arms!;Un frère d’armes !;Ein Waffenbruder!;;¡Camarada de armas!;;;;;;;;;x
EVTDESCffriend.12;Besides the many friendships made while campaigning, one comes as no surprise.\nOf course, [From.GetFirstName] is from my dynasty.\nAnd, as the saying goes, great minds think alike.;Cette campagne a prouvé que [From.GetTitledName] est de bonne compagnie. J’attache une grande importance à ce qu’il dit et je lui fais entièrement confiance sur le champ de bataille.;Bei diesem Feldzug hat sich herausgestellt, dass man mit [From.GetTitledName] gut die Zeit verbringen kann. Ich schätze [From.GetHerHis] Meinung sehr und vertraue [From.GetHerHim] auf dem Schlachtfeld.;;Esta campaña me ha demostrado que [From.GetTitledName] es una persona con la que merece la pena estar. Tengo en muy alta estima su opinión, y confío en [From.GetHerHim] en el campo de batalla.;;;;;;;;;x
EVTOPTAffriend.12;All should address [From.GetTitledFirstName] as my trustworthy friend now.;Un frère d’armes !;Ein Waffenbruder!;;¡Camarada de armas!;;;;;;;;;x
EVTDESCfflove.1;During the starry night, with all enjoying the grand feast, one mand stands to make a toast of his own. He addresses the guests in the crowded banquet hall. And uses many words to praise my wife and I.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAfflove.1;Those words found a home in my heart.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCfflove.2;During the starry night, with all enjoying the grand feast, I felt the occasion asked for a toast. So I stood and addressed the guests in the crowded banquet hall. \nWhat to say? \n"[From.Spouse.GetFirstName] must indeed be more than human fair, for I think no mortal maid has stirred the heart of [From.GetFirstName] like she does".;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAfflove.2;And all lifted their cups to salute our generous hosts.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPfflove.2;makes a toast.;!;!;;!;;;;;;;;;x
EVTDESCfflove.3;During the starry night, with all enjoying the grand feast, my [GetFromRelation] [From.GetTitledFirstName] stands to make a toast of [From.GetHerHis] own. [From.GetSheHe] addresses the guests in the crowded banquet hall. And graces us with a moving speech praising my devotion for my wife and family.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAfflove.3;My [GetFromRelation] [From.GetFirstName] makes me proud of our fraternal bonds.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCfflove.4;During the starry night, with all enjoying the grand feast, I felt the occasion asked for a toast. So I stood and addressed the guests in the crowded banquet hall. \nWhat to say? \n"The love and devotion between [From.Spouse.GetFirstName] and [From.GetFirstName] is our [Root.Religion.GetRandomGodName]'s way to inspire harmony amongst our loyal subjects".;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTAfflove.4;And all lifted their cups to salute our generous hosts.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLTIPfflove.4; makes a toast.;!;!;;!;;;;;;;;;x
