#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTOPTA_TOG_101;As my [From.GetTitle] commands.;Je ferai ce que mon/ma [From.GetTitle] m'ordonne.;Wie [From.GetTitle] befiehlt.;;Como mi [From.GetTitle] ordena.;;;;;;;;;x
EVTDESC_TOG_102;The preparations for the Great Chase have been completed, and your forces are deployed at the assembly points! They will now advance in formation, driving all wildlife before them until they are trapped and surrounded in a large clearing prepared by your scouts. Then the killing begins.;Les préparatifs pour la Great Chase sont maintenant terminés et vos forces se déploient aux différents points de ralliement ! Elles progresseront en formation, forçant les bêtes à rebrousser chemin jusqu'à ce qu'elles soient prises au piège, encerclées dans une vaste clairière défrichée pas vos éclaireurs. La tuerie pourra ensuite commencer. ;Die Vorbereitungen der Great Chase sind abgeschlossen und Eure Streitkräfte haben sich an den Treffpunkten versammelt! Sie werden nun in Formation vordringen und alle Wildtiere vor sich hertreiben, bis sie auf einer großen Lichtung, die Eure Kundschafter auswählten, gefangen sind und umzingelt werden. Dann kann das Töten beginnen.;;¡Los preparativos para la Great Chase se han completado, y tus fuerzas están desplegadas en los puntos de reunión! Ahora avanzarán en formación, conduciendo a toda la fauna silvestre delante de ellos hasta que sean atrapados y rodeados en un gran claro preparado por sus exploradores. Entonces la matanza comienza.;;;;;;;;;x
EVTOPTA_TOG_102;Let the hunt commence!;Que la chasse commence !;Lasst die Jagd beginnen!;;¡Que comience la cacería! ;;;;;;;;;x
EVTDESC_TOG_103;The preparations for the Great Chase have been completed, and the [From.GetTitle]'s  forces are deployed at the assembly points! Together, you will now advance in formation, driving all wildlife before you until they are trapped and surrounded in a large clearing prepared by the [From.GetTitle]'s scouts. Then the killing begins.;Les préparatifs pour la Great Chase sont maintenant terminés et les forces de [From.GetTitle] se déploient aux différents points de ralliement ! Ensemble, vous progresserez en formation, forçant les bêtes à rebrousser chemin jusqu'à ce qu'elles soient prises au piège, encerclées dans une vaste clairière défrichée par les éclaireurs de [From.GetTitle]. La tuerie pourra ensuite commencer.;Die Vorbereitungen der Great Chase sind abgeschlossen und [From.GetTitle]s Streitkräfte haben sich an den Treffpunkten versammelt! Sie werden nun zusammen mit Euch in Formation vordringen und alle Wildtiere vor sich hertreiben, bis sie auf einer großen Lichtung, die [From.GetTitle]s Kundschafter auswählten, gefangen sind und umzingelt werden. Dann kann das Töten beginnen.;;¡Los preparativos para la Great Chase se han completado, y las fuerzas de [From.GetTitle] están desplegadas en los puntos de reunión! Juntos avanzaréis en formación, conduciendo a toda la fauna silvestre delante vuestro hasta que sean atrapados y rodeados en un gran claro preparado por los exploradores de [From.GetTitle]. Entonces la matanza comienza.;;;;;;;;;x
EVTDESC_TOG_110;While guiding the advance in your assigned sector of the Great Chase, your horse was suddenly startled by a fox bolting from its hiding place. You were thrown off your saddle, and when you regained consciousness you found your arm painfully twisted at a strange angle. It looks like this hunt is over for you.;Tandis que vous guidiez la progression vers votre secteur désigné pour la Great Chase, votre cheval  sursaute soudainement lorsqu'un renard bondit hors de son terrier. Vous heurtez violemment le sol et, lorsque vous reprenez conscience, vous vous apercevez que votre bras est tordu douloureusement de façon inhabituelle. Force est de constater que la partie de chasse est terminée pour vous.;Während Ihr den Fortschritt in dem Euch zugewiesenen Abschnitt der Great Chase überwacht, wird Euer Pferd plötzlich von einem Fuchs, der aus seinem Versteck hechtet, verschreckt. Ihr fliegt vom Pferd und als Ihr Euer Bewusstsein wiedererlangt, ist Euer Arm in einem unnatürlichen Winkel schmerzhaft verdreht. Wie es scheint, ist die Jagd für Euch vorrüber.;;Mientras guiaba el avance en el sector asignado de la Great Chase, tu caballo se asustó de repente por un zorro escapando de su escondite. Fuiste arrojado de tu silla, y cuando recuperaste el conocimiento encontraste tu brazo dolorosamente torcido en un ángulo extraño. Parece que esta caza ha terminado para ti.;;;;;;;;;x
EVTOPTA_TOG_110;What rotten luck.;Quelle poisse !;Was für ein Pech.;;Qué mala suerte.;;;;;;;;;x
EVTDESC_TOG_111;While guiding the advance in his assigned sector of the Great Chase, [From.GetTitledFirstName]'s horse was suddenly startled by a fox bolting from its hiding place. He was thrown off his saddle and broke his arm. For him, the hunt is over.;Tandis qu'il guidait la progression vers son secteur désigné pour la Great Chase, le cheval de [From.GetTitledFirstName] sursaute soudainement lorsqu'un renard bondit hors de son terrier. [From.GetTitledFirstName] se heurte violemment au sol et se fracture le bras. Force est de constater que la partie de chasse est terminée pour lui.;Während [From.GetTitledFirstName] den Fortschritt im zugewiesenen Abschnitt der Great Chase überwacht, wird [From.GetTitledFirstName]s Pferd plötzlich von einem Fuchs, der aus seinem Versteck hechtet, verschreckt. Er fliegt vom Pferd und als er sein Bewusstsein wiedererlangt, ist ein Arm in einem unnatürlichen Winkel schmerzhaft verdreht. Wie es scheint, ist die Jagd für ihn vorrüber.;;Mientras guiaba el avance en el sector asignado de la Great Chase, el caballo de [From.GetTitledFirstName] se asustó de repente por un zorro escapando de su escondite. Fue arrojado de su silla y se rompió un brazo. La caza ha terminado para él.;;;;;;;;;x
EVTOPTA_TOG_111;More game for the rest of us.;Davantage de gibier pour ceux qui restent.;Mehr Beute für den Rest von uns.;;Más juego para el resto de nosotros.;;;;;;;;;x
EVTDESC_TOG_112;Your forces continue to drive wildlife before them, but as they pass a small creek, their lines collide with forces under [From.GetTitledFirstName]'s command! The cohesion of your forces has been broken, and when [From.GetFirstName] chastises you in front of your men, you come to blows with the man!;Vos forces continuent de repousser les bêtes devant vous mais lorsque vous atteignez un petit ruisseau, vous croisez la route des hommes sous le commandement de [From.GetTitledFirstName] ! La cohésion de vos forces se brise et, lorsque [From.GetFirstName] vous réprimande devant vos hommes, vous en venez aux coups avec l'importun ! ;Eure Truppen jagen das Wild weiter vor sich her, bis sie in einem schmalen Flusslauf mit den Truppen von [From.GetTitledFirstName] zusammentreffen! Der Verbund Eurer Truppen gerät durcheinander und als [From.GetFirstName] Euch vor den Augen Eurer Männer zusammenstaucht, explodiert Ihr.;;Tus fuerzas siguen impulsando la fauna silvestre delante suyo, pero a medida que pasan un pequeño arroyo, sus líneas chocan con fuerzas bajo el mando de [From.GetTitledFirstName]! La cohesión de tus fuerzas se ha roto, y cuando [From.GetFirstName] te castiga delante de tus hombres, llegas a las manos con él!;;;;;;;;;x
EVTOPTA_TOG_112;That arrogant fool.;Cet abruti est d'une condescendance...;Dieser arrogante Narr.;;Ese necio arrogante.;;;;;;;;;x
EVTDESC_TOG_113;Word has reached you that [From.GetTitledFirstName] came to blows with [FromFrom.GetTitledFirstName] in front of their men, when their advancing lines became entangled in one another. No wildlife seems to have escaped, and the matter has been settled between the men. They will likely hold a grudge, however...;On vous a rapporté que [From.GetTitledFirstName] en est venu aux mains avec [FromFrom.GetTitledFirstName] devant leurs hommes lorsque les deux troupes se sont croisées dans leur progression. Aucune bête ne semble toutefois s'être échappée et les deux hommes ont réglé leur différend. Par contre, ils en garderont certainement rancune...  ;Euch wird berichtet, dass [From.GetTitledFirstName] sich mit [FromFrom.GetTitledFirstName] vor den Augen ihrer Männer zerstritten hat, als ihre vorstoßenden Truppen zusammenstießen. Kein Wild scheint entkommen zu sein und die Männer konnten die Sache unter sich regeln. Sie werden jedoch sicherlich einen Groll hegen...;;Han llegado rumores de que [From.GetTitledFirstName] llegó a las manos con [FromFrom.GetTitledFirstName] delante de sus hombres, cuando sus líneas de avance se enredaron entre ellas. La fauna silvestre no parece haber escapado, y el asunto se ha resuelto entre los hombres. Sin embargo, probablemente se guarden rencor...;;;;;;;;;x
EVTOPTA_TOG_113;They need to focus on their duties.;Ils doivent se concentrer sur leurs devoirs.;Sie sollten sich auf ihre Pflichten konzentrieren.;;Tienen que centrarse en sus funciones.;;;;;;;;;x
EVTDESC_TOG_114;You have failed to keep the advance of your men orderly, and as a result gaps have opened up in your lines. It's impossible to tell how much wildlife has escaped the encirclement, but some is bound to have slipped through the cracks. When the [Root.Liege.GetTitle] learns of this, [Root.Liege.GetSheHe] will not be pleased...;Vous n'avez pas réussi à tenir vos hommes en ordre de marche discipliné, laissant des trous se former dans vos lignes. Impossible de savoir combien de bêtes sauvages ont pu échapper à l'encerclement, mais il est certain qu'il y a eu des rescapés. Quand le [Root.Liege.GetTitle] apprendra ça, [Root.Liege.GetSheHe] n'appréciera pas...;Ihr konntet die Ordnung beim Vorstoß Eurer Truppen nicht aufrecht erhalten und so kam es zu Lücken in der Linie. Es ist unmöglich abzuschätzen, wieviel Wild dadurch entkommen konnte, doch dass dies einigen gelang, ist sicher. Wenn [Root.Liege.GetTitle] davon erfährt, wird [Root.Liege.GetSheHe] nicht sehr erfreut sein...;;Has fallado en mantener el avance de tus hombres ordenadamente, y como resultado se han abierto brechas en tus líneas. Es imposible saber cuánta vida silvestre ha escapado del cerco, pero es probable que algunos se hayan escabullido por las grietas. Cuando el [Root.Liege.GetTitle] se entere de esto, [Root.Liege.GetSheHe] no estará contento...;;;;;;;;;x
EVTOPTA_TOG_114;This is bad...;Ce n'est pas bon...;Das ist gar nicht gut...;;Esto es malo...;;;;;;;;;x
EVTDESC_TOG_115;Through incompetence, [From.GetTitledFirstName] has failed to properly maintain his lines resulting in a large gap forming in the encirclement. Much wildlife has escaped, and tradition dictates that [From.GetFirstName] and his men be punished severely. Failure to do so could disrupt discipline among the other troops.;À cause de son incompétence, [From.GetTitledFirstName] n'a pas réussi à tenir ses hommes en ordre de marche discipliné, laissant des trous se former dans ses lignes. De nombreuses bêtes sauvages se sont échappées et la tradition veut que [From.GetFirstName] et ses hommes soient sévèrement punis. Un manquement au respect de cette tradition pourrait bien perturber la discipline des autres troupes.;Durch Inkompetenz hat [From.GetTitledFirstName] versagt, die Linie seiner Truppen aufrecht zu erhalten, und es kam zu Lücken bei der Treibjagd. Wildtiere sind entkommen und die Tradition verlangt, dass [From.GetFirstName] und seine Truppen schwer dafür bestraft werden. Wenn dies nicht erfolgt, wird es die Moral der anderen Truppen beeinträchtigen.;;Por su incompetencia, [From.GetTitledFirstName] ha fracasado en mantener adecuadamente sus líneas dando como resultado un gran vacío en el cerco. Mucha vida silvestre ha escapado, y la tradición dicta que [From.GetFirstName] y sus hombres serán castigados severamente. De lo contrario, podría perturbar la disciplina entre los demás soldados.;;;;;;;;;x
EVTOPTA_TOG_115;The fool will pay for his mistakes.;L'imbécile paiera pour ses erreurs.;Dieser Narr wird für seine Fehler zahlen.;;El necio pagará por sus errores.;;;;;;;;;x
EVTOPTB_TOG_115;I will show leniency this time...;Je ferai preuve de clémence pour cette fois...;Ich werde in diesem Fall Nachsicht zeigen...;;Mostraré clemencia por esta vez...;;;;;;;;;x
EVTTOOLTIP_TOG_116;A severe clubbing is administered.;On lui administre la bastonnade.;Eine schwere Prügelstrafe wird angeordnet.;;Se administra un severo aporreamiento.;;;;;;;;;x
EVTDESC_TOG_116;The [Root.Liege.GetTitle], in [Root.Liege.GetHerHis] wisdom, has decided to punish you and your men for your failure to maintain formation. Your life shall be spared, but you will be severly clubbed as a lesson to all. Unit cohesion must be maintained at all times.;Le/la [Root.Liege.GetTitle] a sagement décidé de vous punir, ainsi que vos hommes, pour votre échec à maintenir votre formation. Votre vie sera épargnée, mais vous serez sévèrement battu à coups de gourdin pour servir de leçon à tous. Il faut toujours maintenir la cohésion de l'unité.;[Root.Liege.GetTitle] hat in [Root.Liege.GetHerHis] den Entschluss getroffen, Euch und Eure Mannen für Euer Versagen zu bestrafen, die Treibjagdformation aufrecht zu erhalten. Euer Leben wird zwar verschont, aber Ihr werdet zur Lektion aller schwer verprügelt werden. Der Zusammenhalt der Truppen muss unter allen Umständen gewahrt bleiben.;;El [Root.Liege.GetTitle] en [Root.Liege.GetHerHis] sabiduría, ha decidido castigarte a ti y a tus hombres por la incapacidad de mantener la formación. Tu vida se salvará, pero serás severamente golpeado como una lección para todos. La unidad debe mantenerse unida en todo momento.;;;;;;;;;x
EVTOPTA_TOG_116;Let's get this over with then...;Alors finissons-en...;Also lasst es uns hinter uns bringen...;;Vamos a terminar con esto entonces...;;;;;;;;;x
EVTDESC_TOG_117;As you advance together with your men in the Great Chase, you suddenly spot a large and magnificent buck standing in a small clearing. Without thinking you raise your bow and fire an arrow. You score a direct hit and the animal falls to the ground, but you are in trouble now – no animals may be killed at this stage in the hunt.;Tandis qu'avec vos hommes vous avancez pendant la Great Chase, vous apercevez soudainement un grand cerf majestueux se tenant dans une petite clairière. Sans réfléchir, vous bandez votre arc et décochez une flèche. Votre tir est parfait et l'animal s'effondre au sol. Vous voilà maintenant dans le pétrin : on ne doit tuer aucun animal à cette étape de la chasse. ;Als Ihr in der Great Chase mit Euren Männern weiter vorstoßt, entdeckt Ihr plötzlich einen riesigen und ansehnlichen Bock auf einer kleinen Lichtung. Ohne nachzudenken, spannt Ihr Euren Bogen und schießt einen Pfeil ab. Ihr landet einen direkten Treffer und das Tier fällt zu Boden, aber nun steckt Ihr in Schwierigkeiten – kein Tier darf in dieser Phase der Jagd getötet werden.;;A medida que avanzas junto con tus hombres en la Great Chase, de repente avistas un ciervo grande y magnífico de pie en un pequeño claro. Sin pensarlo, levantas tu arco y disparas una flecha. Aciertas un impacto directo y el animal cae al suelo, pero estás en problemas ahora, no se pueden matar animales en esta etapa de la caza.;;;;;;;;;x
EVTOPTA_TOG_117;Oops.;Oups.;Hoppla.;;Ups.;;;;;;;;;x
EVTDESC_TOG_118;While advancing with his forces, [From.GetTitledFirstName] felled a buck with his bow. This is unacceptable – per ancient tradition, no animals may be killed during the Great Chase before the encirclement has been completed. A harsh punishment for this transgression will be expected.;Avec ses troupes, [From.GetTitledFirstName] a abattu un cerf d'une flèche. C'est inacceptable. L'ancienne tradition veut qu'aucun animal ne soit tué durant la Great Chase avant que l'on n'ait terminé l'encerclement. Il faut s'attendre à une punition sévère pour cette transgression.  ;Beim Vorstoß mit seinen Truppen hat [From.GetTitledFirstName] einen Bock mit seinem Bogen erlegt. Das ist unverzeihlich – nach alter Tradition darf kein Tier während der Great Chase getötet werden, bevor das Umzingeln nicht vollständig abgeschlossen ist. Eine schwere Strafe für diesen Verstoß wird erwartet.;;Mientras avanza con sus fuerzas, [From.GetTitledFirstName] derribó un ciervo con su arco. Esto es inaceptable, según la antigua tradición, los animales no pueden morir durante la Great Chase antes de que el cerco se haya completado. Se espera una dura pena por este delito.;;;;;;;;;x
EVTOPTA_TOG_118;Punish the fool!;Punissez l'imbécile !;Bestraft den Narren!;;¡Sancionar al necio!;;;;;;;;;x
EVTOPTB_TOG_118;A reprimand will be enough.;Une réprimande suffira.;Eine Rüge sollte ausreichen.;;Una amonestación será suficiente.;;;;;;;;;x
EVTDESC_TOG_150;The horde of frantic animals has been corralled into a clearing and they are now completely surrounded by your forces. As the [Root.GetTitle], you and your closest retinue will be given the first opportunity to engage in the killing sport. Only after you are finished will your vassals be allowed to hunt.;La horde d'animaux déchaînés a été confinée dans une clairière et se retrouve maintenant complètement cernée par vos forces. En tant que [Root.GetTitle], vous et vos plus proches sujets aurez l'opportunité de donner le signal de la curée. Vos vassaux pourront commencer à chasser seulement lorsque vous aurez terminé.;Eine Horde panischer Tiere wurde auf einer Lichtung umzingelt und ist nun komplett von Euren Truppen eingeschlossen. Als [Root.GetTitle] habt Ihr und Euer engstes Gefolge das Recht der ersten Jagdtrophäe. Erst wenn Ihr fertig seid, dürfen Eure Vasallen jagen. ;;La horda de animales frenéticos ha sido acorralada en un claro y ahora está completamente rodeada por tus fuerzas. Como el [Root.GetTitle], tu séquito más cercano y tú tendréis la primera oportunidad de participar en el deporte asesino. Sólo después de que haya terminado se le permitirá a tus vasallos cazar.;;;;;;;;;x
EVTOPTA_TOG_150;Hand me my bow.;Donnez-moi mon arc.;Reicht mir meinen Bogen.;;Pásame mi arco.;;;;;;;;;x
EVTDESC_TOG_151;The horde of frantic animals has been corralled into a clearing and they are now completely surrounded by the [Root.Liege.GetTitle]'s forces. As is [Root.Liege.GetHerHis] right, the [Root.Liege.GetTitle] and [Root.Liege.GetHerHis] closest retinue will start the killing. When [Root.Liege.GetSheHe] is finished, it will be your turn along with the other vassals.;La horde d'animaux déchaînés a été confinée dans une clairière et est maintenant complètement cernée par les hommes de [Root.Liege.GetTitle]. Par les droits qui lui reviennent, le [Root.Liege.GetTitle] et ses plus proches sujets commenceront la curée. Lorsqu'ils en auront terminé, ce sera votre tour à vous et aux autres vassaux.;Eine Horde panischer Tiere wurde auf einer Lichtung umzingelt und ist nun komplett von [Root.Liege.GetTitle]s Truppen eingeschlossen. Als [Root.Liege.GetTitle] ist es [Root.Liege.GetHerHis] Recht, dass [Root.Liege.GetTitle] und [Root.Liege.GetHerHis] engstes Gefolge die erste Jagdtrophäe erhalten werden. Erst wenn [Root.Liege.GetSheHe] fertig ist, dürft Ihr mit den anderen Vasallen jagen. ;;La horda de animales frenéticos ha sido acorralada en un claro y ahora está completamente rodeada por las fuerzas de [Root.Liege.GetTitle]. Como es [Root.Liege.GetHerHis] derecho, el [Root.Liege.GetTitle] y [Root.Liege.GetHerHis] comitiva más cercana empezarán la matanza. Cuando [Root.Liege.GetSheHe] haya terminado, será tu turno junto con los otros vasallos.;;;;;;;;;x
EVTOPTA_TOG_151;At last.;Enfin.;Endlich.;;Por fin.;;;;;;;;;x
EVTDESC_TOG_152;You spend a few hours hunting the trapped game, and it soon becomes obvious to everyone that you have a real knack for this. The arrows from your bow easily find their marks, and you seem better able than most in predicting the behavior of the animals.;Vous avez passé quelques heures à chasser le gibier pris au piège et il devient de plus en plus évident que vous possédez un véritable talent. Les flèches que vous décochez atteignent facilement leur cible et vous semblez meilleur que quiconque pour deviner à l'avance le comportement des animaux. ;Ihr verbringt einige Stunden mit der Jagd des eingeschlossenen Wilds und es wird schnell ersichtlich, dass Ihr ein Händchen dafür habt. Die Pfeile Eures Bogens finden mit Leichtigkeit ihr Ziel und Ihr scheint besser als jeder andere, das Verhalten der Tiere vorhersehen zu können.;;Te pasas unas horas cazando, y pronto se hace evidente para todos que tienes un verdadero don para esto. Las flechas de tu arco encuentran fácilmente sus marcas, ya que pareces más hábil que la mayoría en la predicción del comportamiento de los animales.;;;;;;;;;x
EVTOPTA_TOG_152;These furs will warm me in the cold winter months.;Ces fourrures me tiendront chaud durant les froids mois hivernaux.   ;Diese Felle werden mich in den kalten Wintermonaten wärmen.;;Estas pieles me van a calentar en los meses fríos de invierno.;;;;;;;;;x
EVTDESC_TOG_158;One of your warriors has demonstrated exceptional skill during the Great Chase, both in sheer martial ability and in the art of effectively commanding a large body of men. He is brought before his [Root.GetTitle], and your advisors suggest that you consider elevating him into a position in your court.;L'un de vos guerriers a démontré un talent exceptionnel durant la Great Chase, tant en pures aptitudes martiales qu'en capacité à commander efficacement un grand nombre d'hommes. On le présente devant son/sa [Root.GetTitle] et vos conseillers vous suggèrent de lui octroyer un poste à votre cour.;Einer Eurer Krieger zeigte herausragende Fähigkeiten während der Great Chase, sowohl im Kampf als auch als Kommandant einer größeren Truppe von Männern. Er wurde vor seinen [Root.GetTitle] gerufen und Eure Ratgeber empfehlen, ihn in eine Position an Eurem Hofe zu berufen.;;Uno de tus guerreros ha demostrado una habilidad excepcional durante la Great Chase, tanto en la capacidad marcial pura como en el arte de dirigir con eficacia un gran cuerpo de hombres. Es traído antes de su [Root.GetTitle] y tus consejeros sugieren que consideres elevarlo a una posición en la corte.;;;;;;;;;x
EVTOPTA_TOG_158;Yes, make it so.;Oui, qu'il en soit ainsi.;Ja, so soll es geschehen.;;Sí, que así sea.;;;;;;;;;x
EVTOPTB_TOG_158;No, he belongs with the other soldiers.;Non, sa place est avec les autres soldats. ;Nein, er gehört zu den anderen Soldaten.;;No, encaja con los demás soldados.;;;;;;;;;x
EVTDESC_TOG_159;As a gift, one of your warriors participating in the Great Hunt has offered you an exceptional bear cub that he managed to tie up and capturing while advancing with the rest of your forces. The animal's fur is white and its eyes are a deep red – it seems to be an albino.;L'un de vos guerriers participant à la Grande Chasse vous a offert en cadeau un magnifique ourson qu'il a réussi à capturer et à ligoter pendant que vos troupes progressaient. La fourrure de l'animal est blanche et ses yeux sont d'un rouge profond, sans doute un albinos.;Einer Eurer Krieger, der an der Großen Jagd teilnahm, bietet Euch ein beachtliches Bärenjunges als Geschenk an, dass er einfangen konnte, während Ihr mit den Truppen weiter vormarschiert seid. Das Fell des Tieres ist weiß und seine Augen sind von einem dunklen Rot – scheinbar ein Albino.;;Como regalo, uno de tus guerreros que participa en la Gran Cacería te ha ofrecido un excepcional cachorro de oso que se las arregló para atar y capturar mientras avanzaba con el resto de tus fuerzas. El pelaje del animal es blanco y sus ojos son de un color rojo oscuro, parece ser albino.;;;;;;;;;x
EVTOPTA_TOG_159;Thank you for this gift.;Merci pour ce cadeau.;Vielen Dank für dieses Geschenk.;;Gracias por este regalo.;;;;;;;;;x
EVTOPTB_TOG_159;Rid me of this abomination!;Débarrassez-moi de cette abomination !;Aus meinen Augen mit diesem abartigen Monster!;;¡Líbrame de esta abominación!;;;;;;;;;x
EVTDESC_TOG_160;A high-pitched shriek outside your yurt draws your attention. As you push the flaps aside, you spot [From.GetTitledFirstName] lying wounded on the ground not far from your chained pet albino bear. It looks like [From.GetSheHe] got too close to the powerful animal. You return back inside your yurt to focus on more important matters.;Un cri perçant à l'extérieur de votre yourte attire votre attention. En écartant les rabats, vous apercevez [From.GetTitledFirstName] blessé(e), étendu(e) au sol, non loin de l'ours albinos enchaîné. Sans doute s'est-[From.GetSheHe] aventuré(e) trop près du puissant animal. Vous retournez dans votre yourte afin de vous concentrer sur des choses plus importantes.;Ein schriller Schrei außerhalb Eures Rundzeltes erweckt Eure Aufmerksamkeit. Als Ihr das Zelt verlasst, seht Ihr [From.GetTitledFirstName] verwundet am Boden liegend, nicht weit entfernt von Eurem angeketteten Albinobären. Scheinbar gelangte [From.GetSheHe] zu nahe an das mächtige Tier. Ihr kehrt in Eurer Zelt zurück, um Euch wichtigeren Dingen zu widmen.;;Un grito agudo fuera de tu yurta llama tu atención. Al empujar las solapas a un lado, detectas a [From.GetTitledFirstName] herido, tumbado en el suelo cerca de tu oso albino encadenado. Parece que [From.GetSheHe] se acercó demasiado al poderoso animal. Vuelves de nuevo dentro de tu yurta para centrarte en asuntos más importantes.;;;;;;;;;x
EVTOPTA_TOG_160;Now where was I...;Alors, où en étais-je...;Wo war ich...;;Por dónde iba...;;;;;;;;;x
EVTDESC_TOG_161;A high-pitched shriek outside your yurt draws your attention. As you push the flaps aside, you spot [From.GetTitledFirstName] lying maimed on the ground not far from your chained pet albino bear. It looks like [From.GetSheHe] got too close to the powerful animal. You return back inside your yurt to focus on more important matters.;Un cri perçant à l'extérieur de votre yourte attire votre attention. En écartant les rabats, vous apercevez [From.GetTitledFirstName] mutilé(e), étendu(e) au sol, non loin de l'ours albinos enchaîné. Sans doute s'est-[From.GetSheHe] aventuré(e) trop près du puissant animal. Vous retournez dans votre yourte afin de vous concentrer sur des choses plus importantes.;Ein schriller Schrei außerhalb Eures Rundzeltes erweckt Eure Aufmerksamkeit. Als Ihr das Zelt verlasst, seht Ihr [From.GetTitledFirstName] entstellt am Boden liegend, nicht weit entfernt von Eurem angeketteten Albinobären. Scheinbar gelangte [From.GetSheHe] zu nahe an das mächtige Tier. Ihr kehrt in Eurer Zelt zurück, um Euch wichtigeren Dingen zu widmen.;;Un grito agudo fuera de tu yurta llama tu atención. Al empujar las solapas a un lado, detectas a [From.GetTitledFirstName] mutilado, tumbado en el suelo cerca de tu oso albino encadenado. Parece que [From.GetSheHe] se acercó demasiado al poderoso animal. Vuelves de nuevo dentro de tu yurta para centrarte en asuntos más importantes.;;;;;;;;;x
EVTDESC_TOG_162;A high-pitched shriek outside your yurt draws your attention. As you push the flaps aside, you spot [From.GetTitledFirstName] lying dead on the ground not far from your chained pet albino bear. It looks like [From.GetSheHe] got too close to the powerful animal. You return back inside your yurt to focus on more important matters.;Un cri perçant à l'extérieur de votre yourte attire votre attention. En écartant les rabats, vous apercevez [From.GetTitledFirstName] gisant sans vie sur le sol, non loin de l'ours albinos enchaîné. Sans doute s'est-[From.GetSheHe] aventuré(e) trop près du puissant animal. Vous retournez dans votre yourte afin de vous concentrer sur des choses plus importantes.;Ein schriller Schrei außerhalb Eures Rundzeltes erweckt Eure Aufmerksamkeit. Als Ihr das Zelt verlasst, seht Ihr [From.GetTitledFirstName] tot am Boden liegend, nicht weit entfernt von Eurem angeketteten Albinobären. Scheinbar gelangte [From.GetSheHe] zu nahe an das mächtige Tier. Ihr kehrt in Eurer Zelt zurück, um Euch wichtigeren Dingen zu widmen.;;Un grito agudo fuera de tu yurta llama tu atención. Al empujar las solapas a un lado, detectas a [From.GetTitledFirstName] muerto, tumbado en el suelo cerca de tu oso albino encadenado. Parece que [From.GetSheHe] se acercó demasiado al poderoso animal. Vuelves de nuevo dentro de tu yurta para centrarte en asuntos más importantes.;;;;;;;;;x
EVTDESC_TOG_163;Some visiting foreign dignitaries who have come to offer tribute to you, the great [Root.GetTitle], have become very impressed with your pet albino bear. They claim never to have seen such a magnificent beast, and that you must be a powerful leader indeed to have enslaved it.;Quelques dignitaires étrangers venus en visite pour vous offrir des tributs, à vous le grand [Root.GetTitle], ont été très impressionnés par votre ours albinos. Ils disent ne jamais avoir vu une bête aussi majestueuse et que vous devez être un bien puissant chef pour être parvenu à en faire votre esclave.;Einige fremde Würdenträger, die Euch besuchten, um Euch als [Root.GetTitle] Tribut zu erweisen, sind sehr beeindruckt von Eurem zahmen Albinobären. Sie betonen, noch nie ein solch wunderbares Biest gesehen zu haben, und dass Ihr ein gar machtvoller Herrscher sein müsst, um es zähmen zu können.;;Algunos visitantes dignatarios extranjeros que han venido a ofrecerte homenaje, al gran [Root.GetTitle], han llegado a estar muy impresionados con tu oso albino. Dicen no haber visto nunca una bestia tan magnífica, y que debes ser un poderoso líder por haberlo esclavizado.;;;;;;;;;x
EVTOPTA_TOG_163;It is the truth.;C'est la vérité.;Es ist die Wahrheit.;;Es la verdad.;;;;;;;;;x
EVTDESC_TOG_164;Some travelers from faraway Hindustan have offered to teach your pet bear to dance, and you have accepted their offer. After spending many months at your court, they have succeeded and you have become renowned throughout the world as the mighty [Root.GetTitle] with the dancing white bear.;Quelques voyageurs venus du lointain Hindoustan vous ont offert d'enseigner à votre ours à danser, offre que vous avez acceptée. Après avoir séjourné de nombreux mois dans votre cour, ils ont réussi et vous êtes devenu(e) célèbre à travers le monde en tant que puissant(e) [Root.GetTitle] à l'ours blanc dansant. ;Einige Reisende von Hindustan haben Euch angeboten, Eurem Bären das Tanzen beizubringen, und Ihr habt dieses Angebot angenommen. Nach einigen Monaten an Eurem Hofe hatten sie Erfolg und Ihr wurdet weltweit bekannt als [Root.GetTitle] voll Macht mit einem tanzenden, weißen Bären.;;Algunos viajeros procedentes de la lejana Hindustan se han ofrecido para enseñar a tu mascota el oso a bailar, y has aceptado su oferta. Después de pasar varios meses en tu corte, han tenido éxito y te has hecho famoso en todo el mundo como el poderoso [Root.GetTitle] con el oso blanco que baila.;;;;;;;;;x
EVTOPTA_TOG_164;I... I can't stop... dancing...;Je... Je ne peux pas m'arrêter... de danser...;Ich... kann nicht... aufhören... zu tanzen...;;No puedo dejar de... bailar...;;;;;;;;;x
